2026-02-11 02:02:22,972 [INFO] theta033_xy03_N301: progress: 6.18 %, estimated time: 7757.92 [sec]
2026-02-11 02:02:32,435 [INFO] theta033_xy03_N301: progress: 6.29 %, estimated time: 7753.80 [sec]
2026-02-11 02:02:41,664 [INFO] theta033_xy03_N301: progress: 6.40 %, estimated time: 7746.08 [sec]
2026-02-11 02:02:50,509 [INFO] theta033_xy03_N301: progress: 6.51 %, estimated time: 7732.79 [sec]
2026-02-11 02:02:59,803 [INFO] theta033_xy03_N301: progress: 6.62 %, estimated time: 7725.98 [sec]
2026-02-11 02:03:09,325 [INFO] theta033_xy03_N301: progress: 6.73 %, estimated time: 7722.24 [sec]
2026-02-11 02:03:18,519 [INFO] theta033_xy03_N301: progress: 6.84 %, estimated time: 7713.86 [sec]
2026-02-11 02:03:27,571 [INFO] theta033_xy03_N301: progress: 6.95 %, estimated time: 7703.55 [sec]
2026-02-11 02:03:36,788 [INFO] theta033_xy03_N301: progress: 7.06 %, estimated time: 7695.45 [sec]
2026-02-11 02:03:45,954 [INFO] theta033_xy03_N301: progress: 7.17 %, estimated time: 7686.66 [sec]
2026-02-11 02:03:54,809 [INFO] theta033_xy03_N301: progress: 7.28 %, estimated time: 7673.89 [sec]
2026-02-11 02:04:04,347 [INFO] theta033_xy03_N301: progress: 7.40 %, estimated time: 7669.80 [sec]
2026-02-11 02:04:13,376 [INFO] theta033_xy03_N301: progress: 7.51 %, estimated time: 7659.27 [sec]
2026-02-11 02:04:22,052 [INFO] theta033_xy03_N301: progress: 7.62 %, estimated time: 7644.50 [sec]
2026-02-11 02:04:31,460 [INFO] theta033_xy03_N301: progress: 7.73 %, estimated time: 7638.66 [sec]
2026-02-11 02:04:40,577 [INFO] theta033_xy03_N301: progress: 7.84 %, estimated time: 7629.28 [sec]
2026-02-11 02:04:49,334 [INFO] theta033_xy03_N301: progress: 7.95 %, estimated time: 7615.74 [sec]
2026-02-11 02:04:58,799 [INFO] theta033_xy03_N301: progress: 8.06 %, estimated time: 7610.42 [sec]
